ID,Codice,Titolo,Categoria,Sottocategoria,Sottocategoria (ID),Tipologia,Prezzo,Qtà scatola,Qtà disponibile,ML,Capacità,Capacità (ID),Colore,Color,Finitura,Materiale,Materiale (ID),Imboccatura,Materiale *,Immagine,Abstract (it),Abstract (en),Nota fitting (it),Nota fitting en)
767,AC050.0656,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,0,50,50,8,Bianco opaco liscio coprente,Matt Opaque Smooth White,Nessuna finitura,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0656.jpg,<p>Il vaso&nbsp;in vetro Ambra 50 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,"<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> Ambra 50 ml glass jar has a timeless charm. The harmonious and balanced design makes it ideal for any type of skincare product.</pre>",,
352,AC050.0700,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,1993,50,50,8,Verde lucido,Shiny Green,Semitrasparente,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0700.jpg,<p>Il vaso&nbsp;in vetro Ambra 50 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,<p>Ambra 50 ml glass jar&nbsp;has&nbsp;a timeless charme: its harmonious and well-balanced design makes it ideal for a wide variety of skincare products.</p>,,
769,AC050.0758,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,326,50,50,8,Turchese satinato,Frosted Turquoise,Semitrasparente,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0758.jpg,<p>Il vaso&nbsp;in vetro Ambra 50 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,"<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> Ambra 50 ml glass jar has a timeless charm. The harmonious and balanced design makes it ideal for any type of skincare product.</pre>",,
1363,ac050.0761,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,696,50,50,8,Bianco lucido coprente,Glossy Opaque White,Lucido,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0761(1).jpg,,,,
1364,AC050.0762,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,648,50,50,8,nero lucido coprente,Glossy Opaque Black,Lucido,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0762(1).jpg,,,,
773,AC050.0822,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,7699,50,50,8,Rosa satinato,Frosted Rose,Semitrasparente,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0822.jpg,<p>Il vaso&nbsp;in vetro Ambra 50 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,"<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> Ambra 50 ml glass jar has a timeless charm. The harmonious and balanced design makes it ideal for any type of skincare product.</pre>",,
1334,AC050.0845,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,1824,50,50,8,Nero opaco,Matte Black,Nessuna finitura,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0845.jpg,"<p><meta charset=""UTF-8"" />Il vaso&nbsp;in vetro Ambra 50 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>",,,
778,AC050.0903,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,795,50,50,8,Blu Avio,Avio Blue,Satinato,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0903.jpg,<p>Il vaso&nbsp;in vetro Ambra 50 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,"<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> Ambra 50 ml glass jar has a timeless charm. The harmonious and balanced design makes it ideal for any type of skincare product.</pre>",,
992,AC050.0905,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,3728,50,50,8,Grigio Scuro satinato,Frosted Dark Grey,Semitrasparente,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0905(1).jpg,<p>Il vaso&nbsp;in vetro Ambra 50 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,"<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 50ml Ambra glass jar has a timeless charme. The harmonious and balanced design makes it the perfect packaging solution for any type of skincare product.</pre>",,
1365,AC050.0948,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,360,50,50,8,Verde coprente opaco,Matt Opaque Green,Opaco,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0948.jpg,,,,
1366,AC050.0961,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,1560,50,50,8,Bianco opaco,Matt White,Opaco,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0961.jpg,,,,
1367,AC050.0975,ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,1211,50,50,8,Bianco,White,Nessuna finitura,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0975(1)(1)(1).jpg,,,,
1368,AC050.1021,ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,0,50,50,8,Ambra Lucido semitrasparente,Amber Glossy Semi-Transparent,Nessuna finitura,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.1021(1).jpg,,,,
735,AC100.0020,Ambra,Vasi vetro,Ambra,11,Vaso,"0,99",72,19812,100,100,10,Trasparente,Transparent,Nessuna finitura,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/Ambra 100 ml vetro AC100.0020.jpg,<p>Il vaso&nbsp;in vetro Ambra 100&nbsp;ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,<p>Ambra 100 ml glass jar has a romantic and feminine design: this makes it perfect for a wide variety of refined skincare products.</p>,,
268,AC200.0006,Ambra,Vasi vetro,Ambra,11,Vaso,"3,25",24,12320,200,200,13,Satinato,Frosted,Nessuna finitura,Vetro,21,GCMI 89/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC200.0006.jpg,<p>Il vaso&nbsp;in vetro Ambra 200 ml ha&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.&nbsp;</p>,<p>Ambra 200 ml glass jar&nbsp;has&nbsp;a timeless charme: its&nbsp;harmonious and well-balanced design makes it ideal for a wide variety of skincare products.</p>,,
355,AC200.0046,Ambra,Vasi colorati,Ambra,196,Vaso,"1,14",12,1334,200,200,13,Bianco opaco,Matte white,Nessuna finitura,Vetro,21,GCMI 89/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC200.0046.jpg,<p>Il vaso&nbsp;in vetro Ambra 200 ml ha&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.&nbsp;</p>,<p>Ambra 200 ml glass jar&nbsp;has&nbsp;a timeless charme: its&nbsp;harmonious and well-balanced design makes it ideal for a wide variety of skincare products.</p>,,
356,AC200.0063,Ambra,Vasi vetro,Ambra,196,Vaso,"1,14",12,2773,200,200,13,Blu lucido,Shiny Blue,Semitrasparente,Vetro,21,GCMI 89/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC200.0063.jpg,<p>Il vaso&nbsp;in vetro Ambra 200 ml ha&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.&nbsp;</p>,<p>Ambra 200 ml glass jar&nbsp;has&nbsp;a timeless charme: its&nbsp;harmonious and well-balanced design makes it ideal for a wide variety of skincare products.</p>,,
780,AC200.0073,Ambra,Vasi vetro,Ambra,11,Vaso,"3,9",24,521,200,200,13,Nero opaco,Matt black,Satinato,Vetro,21,GCMI 89/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC200.0073.jpg,<p>Il vaso&nbsp;in vetro Ambra 200 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,"<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 200 ml Amber glass jars have a timeless elegance. The harmonious and balanced design makes them ideal for any type of skincare product.</pre>",,
361,QC015.0034,Ambra,Flaconi vetro,Ambra,72,Flacone,"0,53",70,104824,15,15,4,Trasparente,Transparent,Nessuna finitura,Vetro,21,EUROPA 5,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/MOQ_ambra 15 f v_def.jpg,"<p>Il flacone&nbsp;in vetro Ambra 15 ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli, detergenza e make-up.</p>","<p>Ambra 15 ml glass bottle&nbsp;is&nbsp;the ideal packaging solution for cosmetic, personal care, haircare, make-up products.</p>",,
741,QC015.0045,Ambra,Flaconi vetro,Ambra,72,Flacone,"0,85",70,50,15,15,4,Satinato,Frosted,Nessuna finitura,Vetro,21,EUROPA 5,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/QC015.0045.jpg,"<p>Il flacone&nbsp;in vetro Ambra 15 ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli, detergenza e make-up.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 15 ml Ambra glass bottle is ideal for face, body, hair, cleansing and make-up cosmetic products.</pre>",,
742,QC030.0501,Ambra,Flaconi vetro,Ambra,72,Flacone,"0,6",210,11660,30,30,7,Trasparente,Transparent,Nessuna finitura,Vetro,21,EUROPA 5,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/QC030.0501.jpg,"<p>Il flacone&nbsp;in vetro Ambra 30&nbsp;ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli, detergenza e make-up.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 30 ml Ambra glass bottle is ideal for face, body, hair, cleansing and make-up cosmetic products.</pre>",,
759,QC100.0004,Ambra,Flaconi vetro,Ambra,72,Flacone,"1,14",35,2905,100,100,10,Satinato,Frosted,Nessuna finitura,Vetro,21,GCMI 24/410,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/QC100.0004.jpg,"<p>Il flacone&nbsp;in vetro Ambra 100&nbsp;ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli e&nbsp;detergenza.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 100 ml Ambra glass bottle is ideal for face, body, hair and cleansing cosmetic products.</pre>",,
386,QC100.0174,Ambra,Flaconi Colorati,Ambra,205,Flacone,"0,63",35,525,100,100,10,Marrone satinato,Frosted brown,Semitrasparente,Vetro,21,GCMI 24/410,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/QC100.0174.jpg,"<p>Il flacone&nbsp;in vetro Ambra 100&nbsp;ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli e&nbsp;detergenza.</p>","<p>Ambra 100&nbsp;ml glass bottle&nbsp;is&nbsp;the ideal packaging solution for cosmetic, personal care and&nbsp;haircare&nbsp;products.</p>",,
820,QC100.0246,Ambra,Flaconi Colorati,Ambra,205,Flacone,"0,63",35,758,100,100,10,Nero,Black,Lucido,Vetro,21,GCMI 24/410,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/QC100.0246.jpg,"<p>Il flacone&nbsp;in vetro Ambra 100&nbsp;ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli e&nbsp;detergenza.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 100 ml Ambra glass bottle is ideal for face, body, hair and cleansing cosmetic products.</pre>",,
821,QC100.0265,Ambra,Flaconi vetro,Ambra,205,Flacone,"0,63",35,690,100,100,10,Grigio Scuro Satinato,Frosted Dark Grey,Semitrasparente,Vetro,21,GCMI 24/410,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/QC100.0265.jpg,"<p>Il flacone&nbsp;in vetro Ambra 100&nbsp;ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli e&nbsp;detergenza.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 100 ml Ambra glass bottle is ideal for face, body, hair and cleansing cosmetic products.</pre>",,
762,QC200.0022,Ambra,Flaconi vetro,Ambra,72,Flacone,"1,25",24,2292,200,200,13,Trasparente,Transparent,Nessuna finitura,Vetro,21,GCMI 24/410,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/QC200.0001.jpg,"<p>Il flacone&nbsp;in vetro Ambra 200&nbsp;ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli e&nbsp;detergenza.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 200 ml Ambra glass bottle is ideal for face, body, hair and cleansing cosmetic products.</pre>",,
825,QC200.0049,Ambra,Flaconi Colorati,Ambra,205,Flacone,"0,73",48,643,200,200,13,Nero,Black,Lucido,Vetro,21,GCMI 24/410,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/QC200.0049.jpg,"<p>Il flacone&nbsp;in vetro Ambra 200&nbsp;ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli e&nbsp;detergenza.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 200 ml Ambra glass bottle is ideal for face, body, hair and cleansing cosmetic products.</pre>",,
765,QC200.0052,Ambra,Flaconi vetro,Ambra,72,Flacone,"1,87",24,1056,200,200,13,Satinato,Frosted,Nessuna finitura,Vetro,21,GCMI 24/410,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/QC200.0052.jpg,"<p>Il flacone&nbsp;in vetro Ambra 200&nbsp;ml &egrave; ideale&nbsp;per prodotti cosmetici viso, corpo, capelli e&nbsp;detergenza.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 200 ml Amber glass bottle is ideal for face, body, hair and cleansing cosmetic products.</pre>  <pre data-placeholder="""" dir=""ltr"" id=""tw-target-rmn"">  &nbsp;</pre>  <p>&nbsp;</p>",,
297,SC030.0025,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,33",100,0,30,30,7,Neutro con protezione UV,Natural with UV protection,Nessuna finitura,PEHD soft touch,1,EUROPA 5,PEHD soft touch,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/MOQ_ambra 30 f p_neutro_def.jpg,"<p>Il flacone&nbsp;in plastica Ambra 30&nbsp;ml presenta&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale per prodotti cosmetici viso, corpo, capelli, detergenza e make-up.</p>","<p>Ambra 30&nbsp;ml plastic bottle&nbsp;has&nbsp;a timeless charme. The harmonious and well-balanced design makes it&nbsp;the ideal packaging solutions for cosmetic, personal care, haircare and&nbsp;make-up products.</p>",,
298,SC030.0026,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,43",100,0,30,30,7,Neutro satinato,Frosted natural,Nessuna finitura,PETG,6,EUROPA 5,PETG,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/MOQ_ambra 30 petg_neutro_def2.jpg,"<p>Il flacone&nbsp;in plastica Ambra 30&nbsp;ml presenta&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale per prodotti cosmetici viso, corpo, capelli, detergenza e make-up.</p>","<p>Ambra 30&nbsp;ml plastic bottle&nbsp;has&nbsp;a timeless charme. The harmonious and well-balanced design makes it&nbsp;the ideal packaging solutions for cosmetic, personal care, haircare and&nbsp;make-up products.</p>",,
923,SC030.0029,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,33",100,0,30,30,7,Bianco,White,Nessuna finitura,PEHD,2,EUROPA 5,PEHD,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/SQ030.0029.jpg,"<p>Il flacone&nbsp;in plastica Ambra 30 ml presenta&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale per prodotti cosmetici viso, corpo, capelli, e detergenza.</p>","<p>Ambra 30&nbsp;ml plastic bottle&nbsp;has&nbsp;a timeless charme. The harmonious and well-balanced design makes it&nbsp;the ideal packaging solutions for cosmetic, personal care and&nbsp;haircare products.</p>",,
1025,SC125.0024,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,47",100,0,125,125,11,Neutro,Neutral,Nessuna finitura,PP soft touch,3,GCMI 24/410,PP soft touch,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/SC125.0024.jpg,<p>nota: bocca riduttore</p>,<p>note: Neck for reducer plug</p>,,
293,SC125.0231,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,42",100,0,125,125,11,Bianco,White,Nessuna finitura,PEHD,2,GCMI 24/410,PEHD,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/SC125.0231_ambra 125 f p_bianco_def(1).jpg,"<p>Il flacone&nbsp;in plastica Ambra 125&nbsp;ml presenta&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale per prodotti cosmetici viso, corpo, capelli e&nbsp;detergenza.</p>","<p>Ambra 125 ml plastic bottle&nbsp;has&nbsp;a timeless charme. The harmonious and well-balanced design makes it&nbsp;the ideal packaging solutions for cosmetic, personal care and&nbsp;haircare&nbsp;products.</p>",,
1026,SC150.0067,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,47",100,0,150,150,12,Bianco,White,Soft-touch,PEHD soft touch,1,GCMI 24/410,PEHD soft touch,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/SC150.0067.jpg,"<p>I flaconi in plastica Ambra presentano di un fascino senza tempo. Il design armonioso ed equilibrato li rende ideali per prodotti cosmetici viso, corpo, capelli, detergenza e make-up.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> Ambra plastic bottles have a timeless charm. The harmonious and balanced design makes them ideal for face, body, hair, cleansing and make-up cosmetic products.</pre>",,
409,SC200.0002,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,83",100,958,200,200,13,Neutro,Natural,Nessuna finitura,PETG,6,GCMI 24/410,PETG,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/MOQ_ambra 200 petg_lucido_def.jpg,<p>Note: bocca riduttore</p>,<p>note:&nbsp;note: Neck for reducer plug</p>,,
924,SC200.0008S,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,55",100,0,200,200,13,Neutro,Natural,Soft-touch,PP soft touch,4,GCMI 24/410,PP,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/SC200.0008S.jpg,"<p>Il flacone&nbsp;in plastica Ambra 200&nbsp;ml presenta&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale per prodotti cosmetici viso, corpo, capelli, e detergenza.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 30 ml Amber plastic bottle presents a timeless charm. The harmonious and balanced design makes it ideal for face, body, hair and cleansing cosmetic products.</pre>",,
925,SC200.0018,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,55",100,0,200,200,13,Bianco,White,Nessuna finitura,PP soft touch,3,GCMI 24/410,PP soft touch,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/SC200.0018.jpg,"<p>Il flacone&nbsp;in plastica Ambra 200&nbsp;ml presenta&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale per prodotti cosmetici viso, corpo, capelli, e detergenza.</p>","<pre data-placeholder=""Traduzione"" dir=""ltr"" id=""tw-target-text""> The 200 ml Amber plastic bottle presents a timeless charm. The harmonious and balanced design makes it ideal for face, body, hair and cleansing cosmetic products.</pre>",,
90,SC200.0286,Ambra,Flaconi plastica,Ambra,21,Flacone,"0,53",100,0,200,200,13,Bianco,White,Nessuna finitura,PP,4,GCMI 24/410,PP,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/SC200.0286_ambra 200 f p_bianco_def.jpg,"<p>Il&nbsp;flacone&nbsp;in plastica Ambra 200&nbsp;ml presenta&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale per prodotti cosmetici viso, corpo, capelli e&nbsp;detergenza.</p>","<p>Ambra 200&nbsp;ml plastic bottle&nbsp;has&nbsp;a timeless charme. The harmonious and well-balanced design makes it&nbsp;the ideal packaging solutions for cosmetic, personal care and&nbsp;haircare products.</p>",,
